fecha_hora,consentimiento,edad,genero,vinculo_universidad,ha_donado,frecuencia_donacion,causa_donacion,donaria,monto_donacion,confianza_campana,prob_llegada_recursos,compartiria_campana,razon_donacion,confianza_alcaldias,confianza_gobierno,confianza_ong,confianza_universidades,confianza_religiosa,confianza_empresas,capacidad_institucion,liderazgo_institucion,experiencia_emergencia
8/9/2026 19:36:40,acepto participar,20,femenino,ninguno,"si, bienes",rara vez (1 vez al ano),desastres,si," $ 20,000.00 ",8,60 - 80,si,"uno dona porque tiene la oportunidad de ayudar a alguien que lo necesita y aportar, aunque sea con algo pequeno, a mejorar su vida ante la situacion que estan viviendo ",7,7,7,7,7,7,gobierno nacional,ong,no
8/9/2026 19:54:39,acepto participar,19,femenino,estudiante,"si, ambas",rara vez (1 vez al ano),emergencias,si," $ 50,000.00 ",7,60 - 80,si,Hoy por ti manana por mi!,8,8,10,8,8,8,ong,ong,no
8/9/2026 21:05:55,acepto participar,21,masculino,estudiante,"no, ninguna de las anteriores",nunca,no aplica,no, $ -   ,0,0 - 20,no,no,0,0,0,0,0,0,empresas Privadas,ong,no
8/9/2026 21:11:41,acepto participar,19,femenino,estudiante,"no, ninguna de las anteriores",rara vez (1 vez al ano),otra,si," $ 20,000.00 ",7,40 - 60,si,"Por sentido de pertenencia , conciencia y empatia con las poblaciones afectadas ",7,8,9,9,1,3,ong,ong,no
8/9/2026 21:17:02,acepto participar,21,femenino,estudiante,"si, bienes",ocasional (2-4 veces al ano),emergencias,si," $ 50,000.00 ",10,60 - 80,si,empatia ,10,10,10,10,10,10,gobierno nacional,gobierno nacional,no
9/9/2026 8:05:03,acepto participar,21,femenino,estudiante,"si, bienes",rara vez (1 vez al ano),desastres,si," $ 20,000.00 ",8,60 - 80,si,"me gusta ayudar y cuando lo hago, lo hago desde el cora ",3,6,9,8,10,10,gobierno nacional,gobierno nacional,no
9/9/2026 8:06:48,acepto participar,20,masculino,estudiante,"si, bienes",ocasional (2-4 veces al ano),no aplica,si," $ 10,000.00 ",7,40 - 60,si,"Porque este es un caso dificil, donde mucha gente damnificada lo necesita",4,5,8,9,8,8,gobierno nacional,alcaldias,no
9/9/2026 8:08:02,acepto participar,20,masculino,estudiante,"si, bienes",ocasional (2-4 veces al ano),desastres,si," $ 25,000.00 ",8,60 - 80,si,es mi deber como ciudadano ,3,6,7,9,10,10,gobierno nacional,alcaldias,no
9/9/2026 8:09:39,acepto participar,19,femenino,estudiante,"si, tiempo (voluntariado)",rara vez (1 vez al ano),emergencias,si," $ 40,000.00 ",7,60 - 80,si,"me gusta ayudar, y tengo la posibilidad de hacerlo",4,4,7,7,8,10,gobierno nacional,alcaldias,si
9/9/2026 8:16:13,acepto participar,22,masculino,estudiante,"si, bienes",ocasional (2-4 veces al ano),desastres,si," $ 20,000.00 ",9,80 - 100,si,"soy una persona que desde lo poco ayuda, tipo si tengo plata de sobra lo dono por q a alguien mas le puede servir como es este caso",4,3,5,5,8,10,gobierno nacional,empresas Privadas,no
